('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.41')
('Success', 'Yes')('FPS', '1.47')
('Success', 'Yes')('FPS', '1.45')
('Success', 'Yes')('FPS', '1.46')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.45')
('Success', 'Yes')('FPS', '1.42')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.39')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.33')
('Success', 'Yes')('FPS', '1.32')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.27')
('Success', 'Yes')('FPS', '1.26')
('Success', 'Yes')('FPS', '1.24')
('Success', 'Yes')('FPS', '1.23')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.07')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.08')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.09')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.10')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.11')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.12')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.13')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.14')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.15')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.16')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.17')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.18')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.19')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.20')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.21')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.22')
('Success', 'Yes')('FPS', '1.23')
('Success', 'Yes')('FPS', '1.23')
('Success', 'Yes')('FPS', '1.23')
('Success', 'Yes')('FPS', '1.23')
('Success', 'Yes')('FPS', '1.24')
('Success', 'Yes')('FPS', '1.24')
