('Success', 'Yes')('FPS', '5.21')
('Success', 'Yes')('FPS', '6.30')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.57')
('Success', 'Yes')('FPS', '7.65')
('Success', 'Yes')('FPS', '7.56')
('Success', 'Yes')('FPS', '7.51')
('Success', 'Yes')('FPS', '7.61')
('Success', 'Yes')('FPS', '7.84')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.80')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.98')
('Success', 'Yes')('FPS', '8.07')
('Success', 'Yes')('FPS', '8.08')
('Success', 'Yes')('FPS', '8.13')
('Success', 'Yes')('FPS', '8.17')
('Success', 'Yes')('FPS', '8.21')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.28')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.29')
('Success', 'Yes')('FPS', '8.24')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.24')
('Success', 'Yes')('FPS', '8.23')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.24')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.28')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.29')
('Success', 'Yes')('FPS', '8.30')
('Success', 'Yes')('FPS', '8.32')
('Success', 'Yes')('FPS', '8.35')
('Success', 'Yes')('FPS', '8.36')
('Success', 'Yes')('FPS', '8.35')
('Success', 'Yes')('FPS', '8.36')
('Success', 'Yes')('FPS', '8.40')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.41')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.44')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.44')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.40')
('Success', 'Yes')('FPS', '8.38')
('Success', 'Yes')('FPS', '8.39')
('Success', 'Yes')('FPS', '8.39')
('Success', 'Yes')('FPS', '8.41')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.44')
('Success', 'Yes')('FPS', '8.46')
('Success', 'Yes')('FPS', '8.46')
('Success', 'Yes')('FPS', '8.47')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.56')
('Success', 'Yes')('FPS', '8.55')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
