('Success', 'Yes')('FPS', '4.54')
('Success', 'Yes')('FPS', '5.54')
('Success', 'Yes')('FPS', '5.58')
('Success', 'Yes')('FPS', '5.14')
('Success', 'Yes')('FPS', '4.67')
('Success', 'Yes')('FPS', '4.54')
('Success', 'Yes')('FPS', '4.41')
('Success', 'Yes')('FPS', '4.30')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.05')
('Success', 'Yes')('FPS', '3.99')
('Success', 'Yes')('FPS', '3.96')
('Success', 'Yes')('FPS', '3.91')
('Success', 'Yes')('FPS', '3.86')
('Success', 'Yes')('FPS', '3.84')
('Success', 'Yes')('FPS', '3.80')
('Success', 'Yes')('FPS', '3.76')
('Success', 'Yes')('FPS', '3.73')
('Success', 'Yes')('FPS', '3.72')
('Success', 'Yes')('FPS', '3.70')
('Success', 'Yes')('FPS', '3.69')
('Success', 'Yes')('FPS', '3.71')
('Success', 'Yes')('FPS', '3.73')
('Success', 'Yes')('FPS', '3.77')
('Success', 'Yes')('FPS', '3.79')
('Success', 'Yes')('FPS', '3.84')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.94')
('Success', 'Yes')('FPS', '3.99')
('Success', 'Yes')('FPS', '4.03')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.10')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.06')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.09')
('Success', 'Yes')('FPS', '4.10')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.10')
('Success', 'Yes')('FPS', '4.09')
('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.07')
('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.10')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.19')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.21')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.19')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.13')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.21')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.22')
('Success', 'Yes')('FPS', '4.21')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.19')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.19')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.21')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.20')
('Success', 'Yes')('FPS', '4.18')
('Success', 'Yes')('FPS', '4.17')
('Success', 'Yes')('FPS', '4.16')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.15')
('Success', 'Yes')('FPS', '4.14')
('Success', 'Yes')('FPS', '4.14')
