('Success', 'Yes')('FPS', '4.52')
('Success', 'Yes')('FPS', '6.10')
('Success', 'Yes')('FPS', '6.63')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.27')
('Success', 'Yes')('FPS', '7.38')
('Success', 'Yes')('FPS', '7.52')
('Success', 'Yes')('FPS', '7.52')
('Success', 'Yes')('FPS', '7.58')
('Success', 'Yes')('FPS', '7.61')
('Success', 'Yes')('FPS', '7.67')
('Success', 'Yes')('FPS', '7.72')
('Success', 'Yes')('FPS', '7.76')
('Success', 'Yes')('FPS', '7.78')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '8.00')
('Success', 'Yes')('FPS', '8.04')
('Success', 'Yes')('FPS', '8.08')
('Success', 'Yes')('FPS', '8.08')
('Success', 'Yes')('FPS', '8.11')
('Success', 'Yes')('FPS', '8.11')
('Success', 'Yes')('FPS', '8.14')
('Success', 'Yes')('FPS', '8.17')
('Success', 'Yes')('FPS', '8.19')
('Success', 'Yes')('FPS', '8.19')
('Success', 'Yes')('FPS', '8.21')
('Success', 'Yes')('FPS', '8.24')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.27')
('Success', 'Yes')('FPS', '8.29')
('Success', 'Yes')('FPS', '8.30')
('Success', 'Yes')('FPS', '8.30')
('Success', 'Yes')('FPS', '8.32')
('Success', 'Yes')('FPS', '8.31')
('Success', 'Yes')('FPS', '8.32')
('Success', 'Yes')('FPS', '8.34')
('Success', 'Yes')('FPS', '8.33')
('Success', 'Yes')('FPS', '8.35')
('Success', 'Yes')('FPS', '8.36')
('Success', 'Yes')('FPS', '8.38')
('Success', 'Yes')('FPS', '8.39')
('Success', 'Yes')('FPS', '8.41')
('Success', 'Yes')('FPS', '8.40')
('Success', 'Yes')('FPS', '8.41')
('Success', 'Yes')('FPS', '8.40')
('Success', 'Yes')('FPS', '8.41')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.43')
('Success', 'Yes')('FPS', '8.44')
('Success', 'Yes')('FPS', '8.45')
('Success', 'Yes')('FPS', '8.44')
('Success', 'Yes')('FPS', '8.45')
('Success', 'Yes')('FPS', '8.45')
('Success', 'Yes')('FPS', '8.46')
('Success', 'Yes')('FPS', '8.47')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.48')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.48')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.49')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.50')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.52')
('Success', 'Yes')('FPS', '8.51')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.53')
('Success', 'Yes')('FPS', '8.55')
('Success', 'Yes')('FPS', '8.56')
('Success', 'Yes')('FPS', '8.55')
('Success', 'Yes')('FPS', '8.56')
('Success', 'Yes')('FPS', '8.56')
('Success', 'Yes')('FPS', '8.57')
('Success', 'Yes')('FPS', '8.56')
('Success', 'Yes')('FPS', '8.57')
('Success', 'Yes')('FPS', '8.57')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.57')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.57')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.59')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.59')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.59')
('Success', 'Yes')('FPS', '8.59')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.60')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.61')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.64')
('Success', 'Yes')('FPS', '8.62')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.64')
