('Success', 'Yes')('FPS', '4.24')
('Success', 'Yes')('FPS', '5.18')
('Success', 'Yes')('FPS', '5.60')
('Success', 'Yes')('FPS', '5.80')
('Success', 'Yes')('FPS', '5.87')
('Success', 'Yes')('FPS', '5.97')
('Success', 'Yes')('FPS', '6.10')
('Success', 'Yes')('FPS', '6.22')
('Success', 'Yes')('FPS', '6.30')
('Success', 'Yes')('FPS', '6.40')
('Success', 'Yes')('FPS', '6.46')
('Success', 'Yes')('FPS', '6.52')
('Success', 'Yes')('FPS', '6.55')
('Success', 'Yes')('FPS', '6.60')
('Success', 'Yes')('FPS', '6.63')
('Success', 'Yes')('FPS', '6.67')
('Success', 'Yes')('FPS', '6.70')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.80')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.84')
('Success', 'Yes')('FPS', '6.85')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.89')
('Success', 'Yes')('FPS', '6.90')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.79')
('Success', 'Yes')('FPS', '6.80')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.83')
('Success', 'Yes')('FPS', '6.85')
('Success', 'Yes')('FPS', '6.85')
('Success', 'Yes')('FPS', '6.85')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.88')
('Success', 'Yes')('FPS', '6.90')
('Success', 'Yes')('FPS', '6.92')
('Success', 'Yes')('FPS', '6.93')
('Success', 'Yes')('FPS', '6.94')
('Success', 'Yes')('FPS', '6.95')
('Success', 'Yes')('FPS', '6.96')
('Success', 'Yes')('FPS', '6.97')
('Success', 'Yes')('FPS', '6.99')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
