('Success', 'Yes')('FPS', '4.79')
('Success', 'Yes')('FPS', '5.78')
('Success', 'Yes')('FPS', '6.48')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.42')
('Success', 'Yes')('FPS', '7.42')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.56')
('Success', 'Yes')('FPS', '7.65')
('Success', 'Yes')('FPS', '7.74')
('Success', 'Yes')('FPS', '7.71')
('Success', 'Yes')('FPS', '7.80')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.95')
('Success', 'Yes')('FPS', '8.02')
('Success', 'Yes')('FPS', '7.98')
('Success', 'Yes')('FPS', '8.04')
('Success', 'Yes')('FPS', '8.10')
('Success', 'Yes')('FPS', '8.15')
('Success', 'Yes')('FPS', '8.20')
('Success', 'Yes')('FPS', '8.18')
('Success', 'Yes')('FPS', '8.21')
('Success', 'Yes')('FPS', '8.25')
('Success', 'Yes')('FPS', '8.26')
('Success', 'Yes')('FPS', '8.28')
('Success', 'Yes')('FPS', '8.24')
('Success', 'Yes')('FPS', '8.28')
('Success', 'Yes')('FPS', '8.28')
('Success', 'Yes')('FPS', '8.31')
('Success', 'Yes')('FPS', '8.33')
('Success', 'Yes')('FPS', '8.30')
('Success', 'Yes')('FPS', '8.33')
('Success', 'Yes')('FPS', '8.35')
('Success', 'Yes')('FPS', '8.37')
('Success', 'Yes')('FPS', '8.39')
('Success', 'Yes')('FPS', '8.35')
('Success', 'Yes')('FPS', '8.42')
('Success', 'Yes')('FPS', '8.47')
('Success', 'Yes')('FPS', '8.54')
('Success', 'Yes')('FPS', '8.58')
('Success', 'Yes')('FPS', '8.59')
('Success', 'Yes')('FPS', '8.63')
('Success', 'Yes')('FPS', '8.67')
('Success', 'Yes')('FPS', '8.72')
('Success', 'Yes')('FPS', '8.77')
('Success', 'Yes')('FPS', '8.78')
('Success', 'Yes')('FPS', '8.77')
('Success', 'Yes')('FPS', '8.78')
('Success', 'Yes')('FPS', '8.80')
('Success', 'Yes')('FPS', '8.81')
('Success', 'Yes')('FPS', '8.79')
('Success', 'Yes')('FPS', '8.80')
('Success', 'Yes')('FPS', '8.82')
('Success', 'Yes')('FPS', '8.83')
('Success', 'Yes')('FPS', '8.85')
('Success', 'Yes')('FPS', '8.82')
('Success', 'Yes')('FPS', '8.84')
('Success', 'Yes')('FPS', '8.85')
('Success', 'Yes')('FPS', '8.85')
('Success', 'Yes')('FPS', '8.86')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.92')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.91')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.90')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.86')
('Success', 'Yes')('FPS', '8.86')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.87')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.89')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
('Success', 'Yes')('FPS', '8.88')
