('Success', 'Yes')('FPS', '4.79')
('Success', 'Yes')('FPS', '6.05')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '6.47')
('Success', 'Yes')('FPS', '6.47')
('Success', 'Yes')('FPS', '6.53')
('Success', 'Yes')('FPS', '6.67')
('Success', 'Yes')('FPS', '6.84')
('Success', 'Yes')('FPS', '6.93')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.21')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.37')
('Success', 'Yes')('FPS', '7.41')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.48')
('Success', 'Yes')('FPS', '7.53')
('Success', 'Yes')('FPS', '7.56')
('Success', 'Yes')('FPS', '7.60')
('Success', 'Yes')('FPS', '7.64')
('Success', 'Yes')('FPS', '7.66')
('Success', 'Yes')('FPS', '7.69')
('Success', 'Yes')('FPS', '7.70')
('Success', 'Yes')('FPS', '7.72')
('Success', 'Yes')('FPS', '7.74')
('Success', 'Yes')('FPS', '7.77')
('Success', 'Yes')('FPS', '7.80')
('Success', 'Yes')('FPS', '7.81')
('Success', 'Yes')('FPS', '7.84')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.92')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.92')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.92')
('Success', 'Yes')('FPS', '7.92')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.90')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.88')
('Success', 'Yes')('FPS', '7.89')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.92')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.95')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.97')
('Success', 'Yes')('FPS', '7.96')
('Success', 'Yes')('FPS', '7.95')
('Success', 'Yes')('FPS', '7.94')
('Success', 'Yes')('FPS', '7.93')
('Success', 'Yes')('FPS', '7.91')
('Success', 'Yes')('FPS', '7.87')
('Success', 'Yes')('FPS', '7.86')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.85')
('Success', 'Yes')('FPS', '7.84')
('Success', 'Yes')('FPS', '7.83')
('Success', 'Yes')('FPS', '7.82')
('Success', 'Yes')('FPS', '7.81')
('Success', 'Yes')('FPS', '7.80')
('Success', 'Yes')('FPS', '7.78')
('Success', 'Yes')('FPS', '7.77')
('Success', 'Yes')('FPS', '7.77')
('Success', 'Yes')('FPS', '7.75')
('Success', 'Yes')('FPS', '7.74')
('Success', 'Yes')('FPS', '7.74')
('Success', 'Yes')('FPS', '7.73')
('Success', 'Yes')('FPS', '7.72')
('Success', 'Yes')('FPS', '7.71')
('Success', 'Yes')('FPS', '7.70')
('Success', 'Yes')('FPS', '7.69')
('Success', 'Yes')('FPS', '7.69')
('Success', 'Yes')('FPS', '7.68')
('Success', 'Yes')('FPS', '7.67')
('Success', 'Yes')('FPS', '7.67')
('Success', 'Yes')('FPS', '7.66')
('Success', 'Yes')('FPS', '7.65')
('Success', 'Yes')('FPS', '7.65')
('Success', 'Yes')('FPS', '7.64')
('Success', 'Yes')('FPS', '7.63')
('Success', 'Yes')('FPS', '7.63')
('Success', 'Yes')('FPS', '7.62')
('Success', 'Yes')('FPS', '7.62')
('Success', 'Yes')('FPS', '7.61')
('Success', 'Yes')('FPS', '7.60')
('Success', 'Yes')('FPS', '7.60')
('Success', 'Yes')('FPS', '7.59')
('Success', 'Yes')('FPS', '7.58')
('Success', 'Yes')('FPS', '7.58')
('Success', 'Yes')('FPS', '7.57')
('Success', 'Yes')('FPS', '7.57')
('Success', 'Yes')('FPS', '7.56')
('Success', 'Yes')('FPS', '7.55')
('Success', 'Yes')('FPS', '7.54')
('Success', 'Yes')('FPS', '7.54')
('Success', 'Yes')('FPS', '7.53')
('Success', 'Yes')('FPS', '7.52')
('Success', 'Yes')('FPS', '7.52')
('Success', 'Yes')('FPS', '7.51')
('Success', 'Yes')('FPS', '7.50')
('Success', 'Yes')('FPS', '7.50')
('Success', 'Yes')('FPS', '7.49')
('Success', 'Yes')('FPS', '7.49')
('Success', 'Yes')('FPS', '7.48')
('Success', 'Yes')('FPS', '7.48')
('Success', 'Yes')('FPS', '7.47')
('Success', 'Yes')('FPS', '7.47')
('Success', 'Yes')('FPS', '7.46')
('Success', 'Yes')('FPS', '7.45')
('Success', 'Yes')('FPS', '7.45')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.44')
('Success', 'Yes')('FPS', '7.43')
('Success', 'Yes')('FPS', '7.43')
('Success', 'Yes')('FPS', '7.42')
('Success', 'Yes')('FPS', '7.42')
('Success', 'Yes')('FPS', '7.41')
('Success', 'Yes')('FPS', '7.41')
('Success', 'Yes')('FPS', '7.40')
('Success', 'Yes')('FPS', '7.40')
('Success', 'Yes')('FPS', '7.40')
('Success', 'Yes')('FPS', '7.39')
('Success', 'Yes')('FPS', '7.39')
('Success', 'Yes')('FPS', '7.39')
('Success', 'Yes')('FPS', '7.39')
('Success', 'Yes')('FPS', '7.39')
('Success', 'Yes')('FPS', '7.38')
('Success', 'Yes')('FPS', '7.38')
('Success', 'Yes')('FPS', '7.38')
('Success', 'Yes')('FPS', '7.37')
('Success', 'Yes')('FPS', '7.37')
('Success', 'Yes')('FPS', '7.37')
('Success', 'Yes')('FPS', '7.36')
('Success', 'Yes')('FPS', '7.36')
('Success', 'Yes')('FPS', '7.36')
('Success', 'Yes')('FPS', '7.35')
('Success', 'Yes')('FPS', '7.35')
('Success', 'Yes')('FPS', '7.35')
('Success', 'Yes')('FPS', '7.34')
('Success', 'Yes')('FPS', '7.34')
('Success', 'Yes')('FPS', '7.34')
('Success', 'Yes')('FPS', '7.33')
('Success', 'Yes')('FPS', '7.33')
('Success', 'Yes')('FPS', '7.33')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.32')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.31')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.30')
('Success', 'Yes')('FPS', '7.29')
('Success', 'Yes')('FPS', '7.29')
('Success', 'Yes')('FPS', '7.29')
('Success', 'Yes')('FPS', '7.29')
('Success', 'Yes')('FPS', '7.29')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.28')
('Success', 'Yes')('FPS', '7.27')
('Success', 'Yes')('FPS', '7.27')
('Success', 'Yes')('FPS', '7.27')
('Success', 'Yes')('FPS', '7.27')
('Success', 'Yes')('FPS', '7.26')
('Success', 'Yes')('FPS', '7.26')
('Success', 'Yes')('FPS', '7.26')
('Success', 'Yes')('FPS', '7.25')
('Success', 'Yes')('FPS', '7.25')
('Success', 'Yes')('FPS', '7.25')
('Success', 'Yes')('FPS', '7.25')
('Success', 'Yes')('FPS', '7.25')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.24')
('Success', 'Yes')('FPS', '7.23')
('Success', 'Yes')('FPS', '7.21')
('Success', 'Yes')('FPS', '7.20')
('Success', 'Yes')('FPS', '7.20')
('Success', 'Yes')('FPS', '7.20')
('Success', 'Yes')('FPS', '7.20')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.17')
