('Success', 'Yes')('FPS', '4.12')
('Success', 'Yes')('FPS', '5.29')
('Success', 'Yes')('FPS', '5.83')
('Success', 'Yes')('FPS', '6.01')
('Success', 'Yes')('FPS', '6.06')
('Success', 'Yes')('FPS', '6.06')
('Success', 'Yes')('FPS', '6.20')
('Success', 'Yes')('FPS', '6.29')
('Success', 'Yes')('FPS', '6.24')
('Success', 'Yes')('FPS', '6.16')
('Success', 'Yes')('FPS', '6.21')
('Success', 'Yes')('FPS', '6.24')
('Success', 'Yes')('FPS', '6.27')
('Success', 'Yes')('FPS', '6.34')
('Success', 'Yes')('FPS', '6.40')
('Success', 'Yes')('FPS', '6.44')
('Success', 'Yes')('FPS', '6.47')
('Success', 'Yes')('FPS', '6.52')
('Success', 'Yes')('FPS', '6.54')
('Success', 'Yes')('FPS', '6.55')
('Success', 'Yes')('FPS', '6.56')
('Success', 'Yes')('FPS', '6.59')
('Success', 'Yes')('FPS', '6.60')
('Success', 'Yes')('FPS', '6.63')
('Success', 'Yes')('FPS', '6.66')
('Success', 'Yes')('FPS', '6.67')
('Success', 'Yes')('FPS', '6.70')
('Success', 'Yes')('FPS', '6.71')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.79')
('Success', 'Yes')('FPS', '6.79')
('Success', 'Yes')('FPS', '6.81')
('Success', 'Yes')('FPS', '6.81')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.83')
('Success', 'Yes')('FPS', '6.83')
('Success', 'Yes')('FPS', '6.84')
('Success', 'Yes')('FPS', '6.85')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.88')
('Success', 'Yes')('FPS', '6.88')
('Success', 'Yes')('FPS', '6.90')
('Success', 'Yes')('FPS', '6.90')
('Success', 'Yes')('FPS', '6.91')
('Success', 'Yes')('FPS', '6.91')
('Success', 'Yes')('FPS', '6.93')
('Success', 'Yes')('FPS', '6.93')
('Success', 'Yes')('FPS', '6.94')
('Success', 'Yes')('FPS', '6.94')
('Success', 'Yes')('FPS', '6.95')
('Success', 'Yes')('FPS', '6.94')
('Success', 'Yes')('FPS', '6.95')
('Success', 'Yes')('FPS', '6.95')
('Success', 'Yes')('FPS', '6.96')
('Success', 'Yes')('FPS', '6.96')
('Success', 'Yes')('FPS', '6.96')
('Success', 'Yes')('FPS', '6.97')
('Success', 'Yes')('FPS', '6.98')
('Success', 'Yes')('FPS', '6.99')
('Success', 'Yes')('FPS', '6.98')
('Success', 'Yes')('FPS', '6.99')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.00')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.01')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.02')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.03')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.04')
('Success', 'Yes')('FPS', '7.05')
('Success', 'Yes')('FPS', '7.06')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.07')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.16')
('Success', 'Yes')('FPS', '7.16')
('Success', 'Yes')('FPS', '7.16')
('Success', 'Yes')('FPS', '7.16')
('Success', 'Yes')('FPS', '7.17')
('Success', 'Yes')('FPS', '7.17')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.19')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.18')
('Success', 'Yes')('FPS', '7.17')
('Success', 'Yes')('FPS', '7.17')
('Success', 'Yes')('FPS', '7.17')
('Success', 'Yes')('FPS', '7.16')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.15')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.14')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.13')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.12')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.11')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.10')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.09')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
('Success', 'Yes')('FPS', '7.08')
