('Success', 'No')('FPS', '7.15')
('Success', 'No')('FPS', '20.42')
('Success', 'No')('FPS', '25.65')
('Success', 'No')('FPS', '29.43')
('Success', 'No')('FPS', '21.75')
('Success', 'No')('FPS', '27.04')
('Success', 'No')('FPS', '22.74')
('Success', 'No')('FPS', '25.66')
('Success', 'No')('FPS', '21.29')
('Success', 'No')('FPS', '27.04')
('Success', 'No')('FPS', '28.59')
('Success', 'No')('FPS', '24.41')
('Success', 'No')('FPS', '22.23')
('Success', 'No')('FPS', '20.01')
('Success', 'No')('FPS', '30.32')
('Success', 'No')('FPS', '23.82')
('Success', 'No')('FPS', '28.59')
('Success', 'No')('FPS', '33.36')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '31.27')
('Success', 'No')('FPS', '23.82')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '27.04')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '31.27')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '51.36')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '36.98')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.95')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '25.37')
('Success', 'No')('FPS', '35.73')
('Success', 'No')('FPS', '33.36')
('Success', 'No')('FPS', '30.32')
('Success', 'No')('FPS', '25.66')
('Success', 'No')('FPS', '29.43')
('Success', 'No')('FPS', '28.59')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '22.74')
('Success', 'No')('FPS', '30.32')
('Success', 'No')('FPS', '29.43')
('Success', 'No')('FPS', '35.74')
('Success', 'No')('FPS', '40.02')
('Success', 'No')('FPS', '35.74')
('Success', 'No')('FPS', '35.73')
('Success', 'No')('FPS', '35.73')
('Success', 'No')('FPS', '41.69')
('Success', 'No')('FPS', '35.73')
('Success', 'No')('FPS', '34.51')
('Success', 'No')('FPS', '38.49')
('Success', 'No')('FPS', '37.06')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '40.03')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '41.69')
('Success', 'No')('FPS', '48.60')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.02')
('Success', 'No')('FPS', '43.39')
('Success', 'No')('FPS', '63.98')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '29.04')
('Success', 'No')('FPS', '48.24')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '15.66')
('Success', 'No')('FPS', '35.72')
('Success', 'No')('FPS', '29.43')
('Success', 'No')('FPS', '37.06')
('Success', 'No')('FPS', '35.74')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '37.06')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '31.27')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '31.26')
('Success', 'No')('FPS', '34.50')
('Success', 'No')('FPS', '33.35')
('Success', 'No')('FPS', '31.27')
('Success', 'No')('FPS', '37.06')
('Success', 'No')('FPS', '38.84')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '28.48')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '34.08')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '0.46')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.92')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '31.99')
('Success', 'No')('FPS', '64.04')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '31.99')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.17')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '31.92')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '31.02')
('Success', 'No')('FPS', '45.39')
