('Success', 'Yes')('FPS', '2.26')
('Success', 'Yes')('FPS', '2.96')
('Success', 'Yes')('FPS', '3.41')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.54')
('Success', 'Yes')('FPS', '3.43')
('Success', 'Yes')('FPS', '3.30')
('Success', 'Yes')('FPS', '3.23')
('Success', 'Yes')('FPS', '3.14')
('Success', 'Yes')('FPS', '3.11')
('Success', 'Yes')('FPS', '3.06')
('Success', 'Yes')('FPS', '3.02')
('Success', 'Yes')('FPS', '2.74')
('Success', 'Yes')('FPS', '2.48')
('Success', 'Yes')('FPS', '2.28')
('Success', 'Yes')('FPS', '2.13')
('Success', 'Yes')('FPS', '2.00')
('Success', 'Yes')('FPS', '1.90')
('Success', 'Yes')('FPS', '1.81')
('Success', 'Yes')('FPS', '1.74')
('Success', 'Yes')('FPS', '1.67')
('Success', 'Yes')('FPS', '1.62')
('Success', 'Yes')('FPS', '1.57')
('Success', 'Yes')('FPS', '1.53')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.46')
('Success', 'Yes')('FPS', '1.43')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.33')
('Success', 'Yes')('FPS', '1.31')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.27')
('Success', 'Yes')('FPS', '1.26')
('Success', 'Yes')('FPS', '1.26')
('Success', 'Yes')('FPS', '1.25')
('Success', 'Yes')('FPS', '1.25')
('Success', 'Yes')('FPS', '1.26')
('Success', 'Yes')('FPS', '1.26')
('Success', 'Yes')('FPS', '1.27')
('Success', 'Yes')('FPS', '1.27')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.31')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.27')
('Success', 'Yes')('FPS', '1.28')
('Success', 'Yes')('FPS', '1.29')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.30')
('Success', 'Yes')('FPS', '1.31')
('Success', 'Yes')('FPS', '1.32')
('Success', 'Yes')('FPS', '1.32')
('Success', 'Yes')('FPS', '1.33')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.37')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.39')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.41')
