('Success', 'Yes')('FPS', '4.33')
('Success', 'Yes')('FPS', '5.38')
('Success', 'Yes')('FPS', '5.75')
('Success', 'Yes')('FPS', '5.91')
('Success', 'Yes')('FPS', '5.94')
('Success', 'Yes')('FPS', '6.11')
('Success', 'Yes')('FPS', '6.09')
('Success', 'Yes')('FPS', '6.12')
('Success', 'Yes')('FPS', '6.21')
('Success', 'Yes')('FPS', '6.27')
('Success', 'Yes')('FPS', '6.31')
('Success', 'Yes')('FPS', '6.36')
('Success', 'Yes')('FPS', '6.39')
('Success', 'Yes')('FPS', '6.48')
('Success', 'Yes')('FPS', '6.52')
('Success', 'Yes')('FPS', '6.59')
('Success', 'Yes')('FPS', '6.62')
('Success', 'Yes')('FPS', '6.63')
('Success', 'Yes')('FPS', '6.66')
('Success', 'Yes')('FPS', '6.71')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.79')
('Success', 'Yes')('FPS', '6.81')
('Success', 'Yes')('FPS', '6.79')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.76')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.76')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.73')
('Success', 'Yes')('FPS', '6.74')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.75')
('Success', 'Yes')('FPS', '6.77')
('Success', 'Yes')('FPS', '6.78')
('Success', 'Yes')('FPS', '6.81')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.82')
('Success', 'Yes')('FPS', '6.83')
('Success', 'Yes')('FPS', '6.84')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.87')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.86')
('Success', 'Yes')('FPS', '6.85')
