('Success', 'Yes')('FPS', '4.77')
('Success', 'Yes')('FPS', '5.63')
('Success', 'Yes')('FPS', '5.51')
('Success', 'Yes')('FPS', '4.94')
('Success', 'Yes')('FPS', '4.65')
('Success', 'Yes')('FPS', '4.49')
('Success', 'Yes')('FPS', '4.34')
('Success', 'Yes')('FPS', '4.21')
('Success', 'Yes')('FPS', '4.11')
('Success', 'Yes')('FPS', '4.01')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.75')
('Success', 'Yes')('FPS', '3.65')
('Success', 'Yes')('FPS', '3.56')
('Success', 'Yes')('FPS', '3.50')
('Success', 'Yes')('FPS', '3.43')
('Success', 'Yes')('FPS', '3.38')
('Success', 'Yes')('FPS', '3.32')
('Success', 'Yes')('FPS', '3.27')
('Success', 'Yes')('FPS', '3.25')
('Success', 'Yes')('FPS', '3.21')
('Success', 'Yes')('FPS', '3.18')
('Success', 'Yes')('FPS', '3.16')
('Success', 'Yes')('FPS', '3.17')
('Success', 'Yes')('FPS', '3.18')
('Success', 'Yes')('FPS', '3.20')
('Success', 'Yes')('FPS', '3.23')
('Success', 'Yes')('FPS', '3.27')
('Success', 'Yes')('FPS', '3.31')
('Success', 'Yes')('FPS', '3.34')
('Success', 'Yes')('FPS', '3.38')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.47')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.43')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.42')
('Success', 'Yes')('FPS', '3.41')
('Success', 'Yes')('FPS', '3.40')
('Success', 'Yes')('FPS', '3.39')
('Success', 'Yes')('FPS', '3.38')
('Success', 'Yes')('FPS', '3.38')
('Success', 'Yes')('FPS', '3.39')
('Success', 'Yes')('FPS', '3.39')
('Success', 'Yes')('FPS', '3.39')
('Success', 'Yes')('FPS', '3.39')
('Success', 'Yes')('FPS', '3.40')
('Success', 'Yes')('FPS', '3.41')
('Success', 'Yes')('FPS', '3.43')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.49')
('Success', 'Yes')('FPS', '3.50')
('Success', 'Yes')('FPS', '3.50')
('Success', 'Yes')('FPS', '3.51')
('Success', 'Yes')('FPS', '3.51')
('Success', 'Yes')('FPS', '3.51')
('Success', 'Yes')('FPS', '3.51')
('Success', 'Yes')('FPS', '3.50')
('Success', 'Yes')('FPS', '3.50')
('Success', 'Yes')('FPS', '3.49')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.47')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.44')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.45')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.46')
('Success', 'Yes')('FPS', '3.47')
('Success', 'Yes')('FPS', '3.47')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.48')
('Success', 'Yes')('FPS', '3.49')
('Success', 'Yes')('FPS', '3.51')
('Success', 'Yes')('FPS', '3.52')
('Success', 'Yes')('FPS', '3.53')
('Success', 'Yes')('FPS', '3.53')
('Success', 'Yes')('FPS', '3.53')
('Success', 'Yes')('FPS', '3.53')
