('Success', 'No')('FPS', '10.32')
('Success', 'No')('FPS', '11.50')
('Success', 'No')('FPS', '23.82')
('Success', 'No')('FPS', '23.27')
('Success', 'No')('FPS', '21.29')
('Success', 'No')('FPS', '29.43')
('Success', 'No')('FPS', '25.66')
('Success', 'No')('FPS', '25.02')
('Success', 'No')('FPS', '21.29')
('Success', 'No')('FPS', '23.27')
('Success', 'No')('FPS', '28.59')
('Success', 'No')('FPS', '29.44')
('Success', 'No')('FPS', '27.03')
('Success', 'No')('FPS', '30.33')
('Success', 'No')('FPS', '27.80')
('Success', 'No')('FPS', '22.24')
('Success', 'No')('FPS', '23.27')
('Success', 'No')('FPS', '21.75')
('Success', 'No')('FPS', '34.12')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '24.56')
('Success', 'No')('FPS', '32.28')
('Success', 'No')('FPS', '59.91')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '21.33')
('Success', 'No')('FPS', '16.04')
('Success', 'No')('FPS', '16.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '35.18')
('Success', 'No')('FPS', '109.52')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '22.59')
('Success', 'No')('FPS', '32.27')
('Success', 'No')('FPS', '35.73')
('Success', 'No')('FPS', '43.95')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '31.01')
('Success', 'No')('FPS', '40.02')
('Success', 'No')('FPS', '53.44')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '21.33')
('Success', 'No')('FPS', '16.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '21.34')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '27.88')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '21.33')
('Success', 'No')('FPS', '16.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.01')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '30.34')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.98')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '29.23')
('Success', 'No')('FPS', '41.69')
('Success', 'No')('FPS', '47.77')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '63.99')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.00')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '31.99')
('Success', 'No')('FPS', '64.05')
('Success', 'No')('FPS', '32.00')
('Success', 'No')('FPS', '64.01')
