('Success', 'Yes')('FPS', '4.08')
('Success', 'Yes')('FPS', '4.72')
('Success', 'Yes')('FPS', '4.63')
('Success', 'Yes')('FPS', '4.28')
('Success', 'Yes')('FPS', '4.03')
('Success', 'Yes')('FPS', '3.89')
('Success', 'Yes')('FPS', '3.75')
('Success', 'Yes')('FPS', '3.41')
('Success', 'Yes')('FPS', '2.93')
('Success', 'Yes')('FPS', '2.63')
('Success', 'Yes')('FPS', '2.39')
('Success', 'Yes')('FPS', '2.25')
('Success', 'Yes')('FPS', '2.15')
('Success', 'Yes')('FPS', '2.05')
('Success', 'Yes')('FPS', '1.99')
('Success', 'Yes')('FPS', '1.93')
('Success', 'Yes')('FPS', '1.88')
('Success', 'Yes')('FPS', '1.83')
('Success', 'Yes')('FPS', '1.78')
('Success', 'Yes')('FPS', '1.75')
('Success', 'Yes')('FPS', '1.71')
('Success', 'Yes')('FPS', '1.68')
('Success', 'Yes')('FPS', '1.66')
('Success', 'Yes')('FPS', '1.63')
('Success', 'Yes')('FPS', '1.61')
('Success', 'Yes')('FPS', '1.59')
('Success', 'Yes')('FPS', '1.58')
('Success', 'Yes')('FPS', '1.57')
('Success', 'Yes')('FPS', '1.55')
('Success', 'Yes')('FPS', '1.54')
('Success', 'Yes')('FPS', '1.53')
('Success', 'Yes')('FPS', '1.52')
('Success', 'Yes')('FPS', '1.51')
('Success', 'Yes')('FPS', '1.50')
('Success', 'Yes')('FPS', '1.50')
('Success', 'Yes')('FPS', '1.50')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.49')
('Success', 'Yes')('FPS', '1.48')
('Success', 'Yes')('FPS', '1.48')
('Success', 'Yes')('FPS', '1.48')
('Success', 'Yes')('FPS', '1.48')
('Success', 'Yes')('FPS', '1.47')
('Success', 'Yes')('FPS', '1.47')
('Success', 'Yes')('FPS', '1.47')
('Success', 'Yes')('FPS', '1.46')
('Success', 'Yes')('FPS', '1.46')
('Success', 'Yes')('FPS', '1.46')
('Success', 'Yes')('FPS', '1.45')
('Success', 'Yes')('FPS', '1.45')
('Success', 'Yes')('FPS', '1.45')
('Success', 'Yes')('FPS', '1.44')
('Success', 'Yes')('FPS', '1.44')
('Success', 'Yes')('FPS', '1.43')
('Success', 'Yes')('FPS', '1.43')
('Success', 'Yes')('FPS', '1.43')
('Success', 'Yes')('FPS', '1.42')
('Success', 'Yes')('FPS', '1.42')
('Success', 'Yes')('FPS', '1.42')
('Success', 'Yes')('FPS', '1.41')
('Success', 'Yes')('FPS', '1.41')
('Success', 'Yes')('FPS', '1.41')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.40')
('Success', 'Yes')('FPS', '1.39')
('Success', 'Yes')('FPS', '1.39')
('Success', 'Yes')('FPS', '1.39')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.38')
('Success', 'Yes')('FPS', '1.37')
('Success', 'Yes')('FPS', '1.37')
('Success', 'Yes')('FPS', '1.37')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.36')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.35')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.34')
('Success', 'Yes')('FPS', '1.34')
